dt,Price,price
2015-01-05,32900.0,
2015-01-12,32500.0,
2015-01-19,32000.0,
2015-01-26,30700.0,
2015-02-02,30300.0,
2015-02-09,30300.0,
2015-02-16,30100.0,
2015-02-23,29400.0,
2015-03-02,29200.0,
2015-03-09,29000.0,
2015-03-16,28700.0,
2015-03-23,27800.0,
2015-03-30,27200.0,
2015-04-06,26600.0,
2015-04-13,25700.0,
2015-04-20,24800.0,
2015-04-27,24700.0,
2015-05-04,24300.0,
2015-05-11,23900.0,
2015-05-18,24000.0,
2015-05-25,23700.0,
2015-06-01,23500.0,
2015-06-08,23800.0,
2015-06-15,24400.0,
2015-06-22,25000.0,
2015-06-29,25300.0,
2015-07-06,25500.0,
2015-07-13,25500.0,
2015-07-20,25400.0,
2015-07-27,25200.0,
2015-08-03,25000.0,
2015-08-10,24700.0,
2015-08-17,24400.0,
2015-08-24,24100.0,
2015-08-31,24100.0,
2015-09-07,23900.0,
2015-09-14,24200.0,
2015-09-21,24200.0,
2015-09-28,24000.0,
2015-10-05,24000.0,
2015-10-12,23800.0,
2015-10-19,23800.0,
2015-10-26,24200.0,
2015-11-02,24500.0,
2015-11-09,24500.0,
2015-11-16,23950.0,
2015-11-23,23750.0,
2015-11-30,23100.0,
2015-12-07,22800.0,
2015-12-14,22000.0,
2015-12-21,21700.0,
2015-12-28,21300.0,
2016-01-04,21300.0,
2016-01-11,21300.0,
2016-01-18,21200.0,
2016-01-25,21000.0,
2016-02-01,21000.0,
2016-02-08,21000.0,
2016-02-15,21200.0,
2016-02-22,21800.0,
2016-02-29,22450.0,
2016-03-07,23300.0,
2016-03-14,23800.0,
2016-03-21,25500.0,
2016-03-28,26700.0,
2016-04-04,29900.0,
2016-04-11,29950.0,
2016-04-18,31500.0,
2016-04-25,31900.0,
2016-05-02,40300.0,
2016-05-09,43500.0,
2016-05-16,43350.0,
2016-05-23,42950.0,
2016-05-30,42000.0,
2016-06-06,38300.0,
2016-06-13,37500.0,
2016-06-20,36800.0,
2016-06-27,35400.0,
2016-07-04,34400.0,
2016-07-11,33400.0,
2016-07-18,32500.0,
2016-07-25,32000.0,
2016-08-01,31000.0,
2016-08-08,30200.0,
2016-08-15,29200.0,
2016-08-22,28850.0,
2016-08-29,28700.0,
2016-09-05,28500.0,
2016-09-12,30000.0,
2016-09-19,32000.0,
2016-09-26,32500.0,
2016-10-03,33300.0,
2016-10-10,34300.0,
2016-10-17,33700.0,
2016-10-24,32200.0,
2016-10-31,30400.0,
2016-11-07,30200.0,
2016-11-14,29800.0,
2016-11-21,33500.0,
2016-11-28,33500.0,
2016-12-05,33500.0,
2016-12-12,33500.0,
2016-12-19,33000.0,
2016-12-26,32500.0,
2017-01-02,33750.0,
2017-01-09,33750.0,
2017-01-16,33750.0,
2017-01-23,33750.0,
2017-01-30,33000.0,
2017-02-06,32600.0,
2017-02-13,32000.0,
2017-02-20,31300.0,
2017-02-27,30300.0,
2017-03-06,30500.0,
2017-03-13,30700.0,
2017-03-20,30600.0,
2017-03-27,30400.0,
2017-04-03,29800.0,
2017-04-10,29500.0,
2017-04-17,28200.0,
2017-04-24,27500.0,
2017-05-01,26500.0,
2017-05-08,26300.0,
2017-05-15,26300.0,
2017-05-22,26200.0,
2017-05-29,26150.0,
2017-06-05,26150.0,
2017-06-12,26150.0,
2017-06-19,26350.0,
2017-06-26,26550.0,
2017-07-03,26650.0,
2017-07-10,28000.0,
2017-07-17,28800.0,
2017-07-24,29400.0,
2017-07-31,29400.0,
2017-08-07,30900.0,
2017-08-14,33900.0,
2017-08-21,35900.0,
2017-08-28,36800.0,
2017-09-04,38600.0,
2017-09-11,39600.0,
2017-09-18,38800.0,
2017-09-25,38800.0,
2017-10-02,37500.0,
2017-10-09,37000.0,
2017-10-16,35800.0,
2017-10-23,33800.0,
2017-10-30,31500.0,
2017-11-06,30000.0,
2017-11-13,32500.0,
2017-11-20,32500.0,
2017-11-27,32000.0,
2017-12-04,31500.0,
2017-12-11,31700.0,
2017-12-18,31800.0,
2017-12-25,34600.0,
2018-01-01,35600.0,
2018-01-08,35600.0,
2018-01-15,35600.0,
2018-01-22,35300.0,
2018-01-29,34500.0,
2018-02-05,33700.0,
2018-02-12,34000.0,
2018-02-19,33900.0,
2018-02-26,32700.0,
2018-03-05,32900.0,
2018-03-12,33300.0,
2018-03-19,33600.0,
2018-03-26,34800.0,
2018-04-02,36100.0,
2018-04-09,36100.0,
2018-04-16,35900.0,
2018-04-23,35900.0,
2018-04-30,36400.0,
2018-05-07,37900.0,
2018-05-14,37700.0,
2018-05-21,37900.0,
2018-05-28,37900.0,
2018-06-04,37600.0,
2018-06-11,37400.0,
2018-06-18,37400.0,
2018-06-25,37100.0,
2018-07-02,37100.0,
2018-07-09,37200.0,
2018-07-16,37800.0,
2018-07-23,37500.0,
2018-07-30,37500.0,
2018-08-06,39400.0,
2018-08-13,39650.0,
2018-08-20,40750.0,
2018-08-27,43100.0,
2018-09-03,48700.0,
2018-09-10,48850.0,
2018-09-17,48350.0,
2018-09-24,44600.0,
2018-10-01,42600.0,
2018-10-08,41500.0,
2018-10-15,40800.0,
2018-10-22,39700.0,
2018-10-29,39500.0,
2018-11-05,38800.0,
2018-11-12,38300.0,
2018-11-19,38000.0,
2018-11-26,37600.0,
2018-12-03,37600.0,
2018-12-10,37300.0,
2018-12-17,37000.0,
2018-12-24,36700.0,
2018-12-31,36000.0,
2019-01-07,36000.0,
2019-01-14,35700.0,
2019-01-21,35300.0,
2019-01-28,34000.0,
2019-02-04,33800.0,
2019-02-11,34550.0,
2019-02-18,36000.0,
2019-02-25,37700.0,
2019-03-04,40200.0,
2019-03-11,40200.0,
2019-03-18,39900.0,
2019-03-25,39400.0,
2019-04-01,39300.0,
2019-04-08,39500.0,
2019-04-15,39500.0,
2019-04-22,39300.0,
2019-04-29,39300.0,
2019-05-06,39300.0,
2019-05-13,40300.0,
2019-05-20,40000.0,
2019-05-27,40200.0,
2019-06-03,40200.0,
2019-06-10,40300.0,
2019-06-17,41500.0,
2019-06-24,40500.0,
2019-07-01,40500.0,
2019-07-08,40300.0,
2019-07-15,39800.0,
2019-07-22,39800.0,
2019-07-29,40200.0,
2019-08-05,40300.0,
2019-08-12,39200.0,
2019-08-19,38700.0,
2019-08-26,38200.0,
2019-09-02,37700.0,
2019-09-09,36900.0,
2019-09-16,36200.0,
2019-09-23,35000.0,
2019-09-30,34200.0,
2019-10-07,33500.0,
2019-10-14,33300.0,
2019-10-21,33500.0,
2019-10-28,33300.0,
2019-11-04,33800.0,
2019-11-11,33500.0,
2019-11-18,32300.0,
2019-11-25,32200.0,
2019-12-02,31800.0,
2019-12-09,31100.0,
2019-12-16,30600.0,
2019-12-23,31400.0,
2019-12-30,32900.0,
2020-01-06,32900.0,
2020-01-13,33400.0,
2020-01-20,32500.0,
2020-01-27,32890.0,
2020-02-03,33400.0,
2020-02-10,32800.0,
2020-02-17,32000.0,
2020-02-24,31500.0,
2020-03-02,32500.0,
2020-03-09,33500.0,
2020-03-16,34000.0,
2020-03-23,35000.0,
2020-03-30,35000.0,
2020-04-06,34500.0,
2020-04-13,34000.0,
2020-04-20,33500.0,
2020-04-27,33500.0,
2020-05-04,33500.0,
2020-05-11,33500.0,
2020-05-18,33500.0,
2020-05-25,33500.0,
2020-06-01,33000.0,
2020-06-08,33000.0,
2020-06-15,33000.0,
2020-06-22,33700.0,
2020-06-29,34500.0,
2020-07-06,34500.0,
2020-07-13,35000.0,
2020-07-20,35000.0,
2020-07-27,35100.0,
2020-08-03,35100.0,
2020-08-10,35200.0,
2020-08-17,35500.0,
2020-08-24,36500.0,
2020-08-31,37200.0,
2020-09-07,37500.0,
2020-09-14,37500.0,
2020-09-21,38000.0,
2020-09-28,38500.0,
2020-10-05,39500.0,
2020-10-12,40000.0,
2020-10-19,39500.0,
2020-10-26,39500.0,
2020-11-02,39500.0,
2020-11-09,39500.0,
2020-11-16,39500.0,
2020-11-23,39500.0,
2020-11-30,41500.0,
2020-12-07,42500.0,
2020-12-14,51000.0,
2020-12-21,58000.0,
2020-12-28,61000.0,
2021-01-04,61000.0,
2021-01-11,61000.0,
2021-01-18,62000.0,
2021-01-25,62000.0,
2021-02-01,59000.0,
2021-02-08,55000.0,
2021-02-15,51500.0,
2021-02-22,48500.0,
2021-03-01,48000.0,
2021-03-08,49000.0,
2021-03-15,50500.0,
2021-03-22,50800.0,
2021-03-29,51500.0,
2021-04-05,53500.0,
2021-04-12,54500.0,
2021-04-19,58500.0,
2021-04-26,60500.0,
2021-05-03,62500.0,
2021-05-10,63500.0,
2021-05-17,67000.0,
2021-05-24,71900.0,
2021-05-31,71900.0,
2021-06-07,72500.0,
2021-06-14,74000.0,
2021-06-21,74000.0,
2021-06-28,74000.0,
2021-07-05,74000.0,
2021-07-12,73500.0,
2021-07-19,72500.0,
2021-07-26,71500.0,
2021-08-02,69500.0,
2021-08-09,66000.0,
2021-08-16,65000.0,
2021-08-23,63500.0,
2021-08-30,62000.0,
2021-09-06,59000.0,
2021-09-13,56500.0,
2021-09-20,55000.0,
2021-09-27,54000.0,
2021-10-04,56800.0,
2021-10-11,59000.0,
2021-10-18,64000.0,
2021-10-25,73000.0,
2021-11-01,77000.0,
2021-11-08,79000.0,
2021-11-15,78000.0,
2021-11-22,72500.0,
2021-11-29,64000.0,
2021-12-06,61500.0,
2021-12-13,60500.0,
2021-12-20,61500.0,
2021-12-27,62500.0,
2022-01-03,63500.0,
2022-01-10,63500.0,
2022-01-17,63700.0,
2022-01-24,62500.0,
2022-01-31,62900.0,
2022-02-07,65000.0,
2022-02-14,65500.0,
2022-02-21,69000.0,
2022-02-28,78000.0,
2022-03-07,77000.0,
2022-03-14,74000.0,
2022-03-21,67000.0,
2022-03-28,69500.0,
2022-04-04,69500.0,
2022-04-11,67500.0,
2022-04-18,64000.0,
2022-04-25,61500.0,
2022-05-02,58000.0,
2022-05-09,56000.0,
2022-05-16,54000.0,
2022-05-23,50000.0,
2022-05-30,46000.0,
2022-06-06,43500.0,
2022-06-13,42000.0,
2022-06-20,43000.0,
2022-06-27,44000.0,
2022-07-04,45000.0,
2022-07-11,45500.0,
2022-07-18,47000.0,
2022-07-25,47500.0,
2022-08-01,47500.0,
2022-08-08,49000.0,
2022-08-15,47500.0,
2022-08-22,46500.0,
2022-08-29,46000.0,
2022-09-05,,46000.0
2022-09-12,,46000.0
2022-09-19,,46000.0
2022-09-26,,45500.0
2022-10-03,,45500.0
2022-10-10,,45000.0
2022-10-17,,44000.0
2022-10-24,,43000.0
2022-10-31,,42000.0
2022-11-07,,41500.0
2022-11-14,,41000.0
2022-11-21,,40000.0
2022-11-28,,40000.0
2022-12-05,,40500.0
2022-12-12,,41700.0
2022-12-19,,41700.0
2022-12-26,,42500.0
2023-01-02,,42700.0
2023-01-09,,42700.0
2023-01-16,,42700.0
2023-01-23,,42800.0
2023-01-30,,42800.0
2023-02-06,,44500.0
2023-02-13,,44500.0
2023-02-20,,46000.0
2023-02-27,,49200.0
2023-03-06,,53700.0
2023-03-13,,55500.0
